date,value
2019-10-16T00:00:00,0
2019-10-17T15:21:00,2
2019-10-18T00:00:00,0
2019-10-19T00:00:00,0
2019-10-20T00:00:00,0
2019-10-21T00:00:00,0
2019-10-22T00:00:00,0
2019-10-23T00:00:00,0
2019-10-24T00:00:00,0
2019-10-25T00:00:00,0
2019-10-26T00:00:00,0
2019-10-27T00:00:00,0
2019-10-28T00:00:00,0
2019-10-29T00:00:00,0
2019-10-30T00:00:00,0
2019-10-31T00:00:00,0
2019-11-01T00:00:00,0
2019-11-02T13:59:47,1
2019-11-03T03:22:39,1
2019-11-04T17:43:00,1
2019-11-05T00:00:00,0
2019-11-06T00:00:00,0
2019-11-07T00:00:00,0
2019-11-08T00:00:00,0
2019-11-09T00:00:00,0
2019-11-10T00:00:00,0
2019-11-11T14:56:00,1
2019-11-12T00:00:00,0
2019-11-13T06:35:00,2
2019-11-14T00:00:00,0
2019-11-15T00:00:00,0
2019-11-16T00:00:00,0
2019-11-17T10:00:00,1
2019-11-18T00:00:00,0
2019-11-19T00:00:00,0
2019-11-20T00:00:00,0
2019-11-21T00:00:00,0
2019-11-22T00:00:00,0
2019-11-23T00:55:00,1
2019-11-24T00:00:00,0
2019-11-25T17:52:00,1
2019-11-26T21:23:00,1
2019-11-27T23:52:00,2
2019-11-28T00:00:00,0
2019-11-29T00:00:00,0
2019-11-30T00:00:00,0
2019-12-01T00:00:00,0
2019-12-02T00:00:00,0
2019-12-03T00:00:00,0
2019-12-04T00:00:00,0
2019-12-05T17:29:00,1
2019-12-06T09:34:11,2
2019-12-07T08:52:00,2
2019-12-08T00:00:00,0
2019-12-09T00:00:00,0
2019-12-10T00:00:00,0
2019-12-11T09:55:00,2
2019-12-12T00:00:00,0
2019-12-13T00:00:00,0
2019-12-14T00:00:00,0
2019-12-15T00:00:00,0
2019-12-16T07:22:00,1
2019-12-17T00:10:00,1
2019-12-18T08:54:20,1
2019-12-19T00:00:00,0
2019-12-20T11:36:43,2
2019-12-21T00:00:00,0
2019-12-22T00:00:00,0
2019-12-23T00:00:00,0
2019-12-24T12:03:00,1
2019-12-25T00:00:00,0
2019-12-26T23:11:57,1
2019-12-27T12:45:00,1
2019-12-28T00:00:00,0
2019-12-29T00:00:00,0
2019-12-30T00:00:00,0
2019-12-31T00:00:00,0
